index,rank,Protocol,Domain,Primary,Path,Num_Paths,Num_Symbol
647457,5.74,0,3,9,23,3,5
634136,5.49,0,3,6,62,6,10
631255,4.86,0,3,13,18,1,3
615446,5.57,0,3,9,23,3,7
633913,2.63,0,2,4,18,2,5
644736,2.41,0,3,15,5,2,3
649576,3.88,0,3,7,26,3,6
637029,0.0,0,10,8,12,1,4
647215,5.33,0,3,5,15,2,4
629403,3.46,0,8,4,46,6,10
645601,2.61,0,3,17,15,2,4
642991,3.26,0,7,8,15,1,4
603733,1.34,0,3,12,14,1,4
644283,4.16,0,3,11,14,1,3
604578,5.02,0,3,16,27,2,5
628975,3.47,0,3,12,53,1,9
631281,4.14,0,3,7,18,2,5
645457,4.92,0,3,12,23,3,6
630566,4.53,0,3,10,3,1,3
631010,4.52,0,9,13,53,3,11
633304,6.33,0,3,8,49,2,13
648039,5.58,0,9,6,21,3,6
632457,3.72,0,3,5,28,3,8
643798,5.53,0,3,9,18,4,5
627809,4.79,0,14,6,48,4,11
618133,0.0,0,12,6,9,2,5
646698,3.6,0,3,15,15,2,4
631889,8.63,0,13,2,33,2,8
607660,1.83,0,3,14,20,1,4
642324,3.07,0,2,7,18,2,4
632532,5.13,0,3,5,25,3,7
647229,3.6,0,5,10,31,2,7
638332,5.17,0,7,5,13,3,5
603238,0.0,0,3,12,6,2,4
640223,4.73,0,3,9,30,4,8
641866,5.07,0,12,4,31,3,8
614784,5.68,0,3,10,10,3,4
648799,5.74,0,3,9,15,2,4
609663,3.94,0,3,12,32,1,6
619426,5.54,0,3,8,26,1,6
626947,3.07,0,3,5,34,1,7
633549,2.94,0,2,6,15,1,4
649289,5.74,0,3,9,23,3,5
646402,5.99,0,3,13,54,3,10
631113,5.22,0,9,3,30,4,8
252444,0.0,0,2,11,31,4,7
624172,3.43,0,3,12,65,5,13
612198,3.84,0,10,3,45,2,11
637345,3.21,0,3,17,19,2,5
605181,4.71,0,3,10,27,3,5
647653,0.0,0,3,17,18,2,5
608575,0.0,0,3,7,20,2,5
641831,3.88,0,2,8,27,2,5
650178,2.37,0,3,10,4,2,4
628023,5.01,0,3,6,26,2,6
605806,0.0,0,3,12,24,3,7
608196,3.18,0,3,21,8,1,5
630962,5.49,0,7,4,28,3,6
612293,4.29,0,13,14,47,5,13
619453,5.03,0,9,5,17,3,5
635498,2.83,0,3,9,16,3,5
640533,5.28,0,3,11,29,1,5
636004,1.68,0,3,5,17,2,4
629529,3.12,0,3,7,12,1,5
635595,4.91,0,3,10,11,2,5
620531,4.95,0,3,9,19,1,5
642131,8.63,0,13,2,15,2,4
638972,3.79,0,17,6,63,4,13
603772,0.0,0,3,6,19,1,5
627188,4.14,0,3,9,19,1,6
631563,8.63,0,13,2,34,2,8
624481,5.18,0,6,4,59,4,9
627043,6.7,0,13,4,36,3,11
632604,3.03,0,3,13,17,1,5
645494,1.26,0,6,5,4,2,5
640913,4.82,0,3,11,30,2,7
620793,4.62,0,3,7,28,4,6
632348,4.8,0,3,10,25,2,5
650380,5.2,0,3,8,22,3,6
611680,4.53,0,3,9,12,1,3
647209,3.6,0,3,4,14,1,4
636541,3.63,0,3,7,13,1,4
627103,2.66,0,2,12,26,3,8
641441,3.42,0,15,4,35,5,10
645419,4.65,0,3,5,31,5,9
650948,4.95,0,3,10,25,3,6
629222,5.34,0,3,3,25,3,6
611450,4.68,0,3,7,28,2,6
643870,4.72,0,3,10,33,1,7
611171,4.58,0,8,2,51,4,9
606024,4.01,0,3,11,6,2,3
620504,3.0,0,2,7,8,3,5
643111,4.29,0,3,10,15,1,4
628176,2.62,0,2,9,12,1,4
605964,4.16,0,3,12,24,2,5
645443,5.16,0,9,9,27,3,6
642106,3.33,0,13,4,17,2,6
650867,5.55,0,3,8,31,4,7
633412,5.89,0,3,4,21,2,6
640357,4.29,0,7,8,33,3,8
607770,3.46,0,2,12,3,1,3
635884,3.49,0,3,21,21,2,6
639591,4.76,0,7,5,32,4,7
617623,2.66,0,3,11,22,2,4
644087,2.77,0,5,6,40,4,8
605744,5.74,0,3,9,23,3,5
607575,5.03,0,3,3,7,1,3
613172,5.03,0,8,3,18,3,6
641958,8.63,0,13,2,10,2,4
644480,8.63,0,13,2,28,2,5
612880,2.5,0,2,11,28,2,5
287276,1.23,0,5,7,31,4,8
627729,8.63,0,13,2,25,2,5
618970,5.03,0,3,3,44,3,8
634600,3.76,0,20,6,13,2,7
613507,4.62,0,3,8,17,3,5
648335,3.65,0,3,14,21,2,5
645925,4.57,0,3,10,33,3,7
106028,4.29,1,2,12,78,3,17
616025,4.7,0,13,10,8,3,6
644540,2.9,0,7,8,14,1,4
645282,4.58,0,3,7,10,1,3
625050,5.08,0,3,12,34,2,8
608181,5.12,0,3,7,16,2,4
606009,2.62,0,3,19,6,1,3
611934,4.56,0,3,20,16,2,5
615597,4.79,0,3,16,11,1,4
642917,3.93,0,3,8,21,2,5
647576,5.05,0,12,15,38,3,10
639545,3.73,0,3,7,27,1,6
625317,5.04,0,3,4,32,3,6
636605,2.8,0,6,9,25,2,6
637234,4.98,0,7,8,29,3,6
645675,4.14,0,3,7,18,2,5
638054,3.11,0,8,5,15,2,4
607185,3.13,0,3,8,21,2,5
648898,4.53,0,3,6,23,4,6
610775,4.06,0,3,11,6,1,4
611263,3.04,0,3,8,13,1,5
650411,8.63,0,13,2,26,2,8
645553,3.95,0,12,5,15,2,4
628273,4.72,0,3,14,17,2,4
627782,0.0,0,20,6,15,2,6
649995,5.43,0,3,6,51,3,7
604612,5.17,0,16,7,18,2,6
611299,4.53,0,6,5,38,2,12
629224,5.49,0,9,12,34,4,9
621073,7.64,0,3,9,58,8,11
643838,5.68,0,3,4,44,5,8
635923,3.49,0,3,6,26,2,5
643634,3.69,0,10,12,14,2,6
641277,4.37,0,12,6,24,3,6
615643,5.33,0,3,6,49,7,12
610654,4.95,0,5,4,33,4,8
609521,4.95,0,5,5,32,3,7
618974,5.01,0,3,9,25,3,6
631349,5.05,0,3,11,26,1,6
619399,4.83,0,7,7,34,3,7
638751,3.73,0,3,9,20,1,6
625677,4.0,0,3,16,20,1,5
632463,3.52,0,3,14,38,1,7
632208,3.62,0,3,16,20,3,6
612135,4.26,0,2,10,30,2,5
643689,3.9,0,3,11,21,3,5
635975,3.07,0,3,9,22,2,5
633097,4.6,0,3,9,4,2,3
605606,1.05,0,3,14,23,1,6
629523,1.64,0,7,3,7,1,3
632796,4.53,0,3,5,29,1,8
633324,4.49,0,3,10,11,1,3
639718,3.95,0,3,8,21,3,5
629056,4.6,0,10,7,35,6,8
608544,2.8,0,7,6,25,2,6
648294,5.31,0,3,7,12,2,4
646244,4.21,0,3,14,19,1,5
641509,4.53,0,3,6,14,1,4
611935,2.65,0,3,14,14,1,5
635214,5.46,0,3,7,23,1,3
624088,8.63,0,13,2,27,2,6
640146,5.05,0,9,4,30,3,6
624555,4.24,0,3,6,9,3,4
604097,2.86,0,2,6,3,1,2
638350,5.17,0,8,4,28,4,7
645203,2.65,0,3,8,6,2,3
631355,5.0,0,3,4,17,3,4
612589,5.59,0,3,2,25,3,8
635021,2.31,0,3,11,14,1,4
615511,1.72,0,3,8,18,1,5
638615,3.96,0,3,5,36,3,9
644983,2.08,0,5,5,35,3,8
638463,4.53,0,13,7,14,2,5
635970,4.78,0,3,6,21,3,5
646416,4.68,0,3,17,44,3,10
640379,3.25,0,3,11,16,1,3
625568,6.75,0,3,11,40,2,8
605478,0.0,0,10,11,12,1,5
645762,4.63,0,3,9,21,2,5
637691,5.09,0,10,9,30,3,8
627110,0.0,0,3,18,11,2,4
630775,5.11,0,3,6,13,1,5
610017,6.31,0,5,8,25,3,6
611297,2.97,0,10,7,28,2,6
636663,0.55,0,3,8,15,2,6
627174,4.15,0,3,14,19,2,5
608463,2.55,0,3,5,22,3,6
603406,2.79,0,3,16,14,1,4
638346,4.75,0,3,7,20,3,5
634786,5.33,0,3,10,16,2,5
609112,2.66,0,8,11,12,2,4
648337,3.12,0,2,5,11,2,3
650498,4.66,0,11,3,56,3,13
610145,4.22,0,9,9,23,2,5
615114,4.76,0,13,8,6,2,5
620177,8.63,0,13,2,13,2,4
645432,2.74,0,2,8,2,1,3
610648,5.44,0,3,8,38,4,7
638144,3.84,0,3,10,21,2,5
619805,4.95,0,9,7,31,5,9
644373,4.67,0,3,8,27,4,7
611368,3.5,0,3,15,28,2,8
604749,4.78,0,11,4,18,2,6
650877,4.66,0,3,14,25,3,6
635670,4.71,0,3,9,43,2,7
608513,2.05,0,3,7,4,1,4
635291,3.26,0,8,6,26,2,6
617038,2.98,0,3,7,9,3,4
606102,2.19,0,3,10,19,1,6
648079,3.41,0,16,2,26,2,6
614759,4.81,0,12,5,107,11,20
629238,4.02,0,17,3,16,2,6
618777,5.95,0,3,10,19,2,5
647130,2.91,0,3,6,21,2,5
631787,4.53,0,6,3,17,1,6
648699,3.31,0,3,9,20,4,7
607795,2.62,0,2,15,10,1,4
606108,0.0,0,6,10,11,1,6
624227,4.75,0,3,7,19,4,5
640510,4.78,0,7,3,14,2,4
614487,4.73,0,3,4,27,5,7
643347,3.26,0,3,13,13,3,5
617730,2.75,0,11,7,8,2,4
616935,4.62,0,3,12,23,2,6
638745,3.18,0,3,9,12,3,5
649980,4.53,0,3,16,12,2,5
646118,3.47,0,11,4,54,1,12
615763,5.24,0,3,6,26,3,7
607235,4.37,0,12,6,25,2,5
644416,6.3,0,12,12,48,3,7
645231,2.47,0,10,15,16,1,4
604149,6.14,0,3,6,34,3,9
636295,2.8,0,3,4,21,1,4
648343,2.7,0,3,12,20,1,6
637514,5.16,0,9,9,22,2,6
603067,5.07,0,3,7,28,4,7
607243,3.23,0,3,17,9,1,5
648869,2.5,0,7,7,10,1,4
606379,1.8,0,2,11,14,1,5
647439,2.32,0,3,10,6,1,3
616103,4.79,0,3,12,17,1,5
633001,6.92,0,3,6,15,2,5
643188,3.71,0,3,7,31,3,7
646431,1.42,0,3,10,22,2,5
635285,3.79,0,11,3,57,5,11
626806,1.91,0,7,8,17,1,6
605418,5.72,0,13,4,21,2,6
633756,4.23,0,3,7,18,2,5
629707,5.32,0,3,3,36,4,8
605101,3.5,0,3,7,26,2,6
611383,2.71,0,3,19,17,2,5
610276,4.83,0,5,3,49,4,8
624784,4.8,0,3,11,24,4,6
610091,4.65,0,12,3,31,3,6
634800,4.77,0,7,8,45,4,9
630522,4.69,0,3,8,35,3,8
643260,4.67,0,3,7,17,3,5
640580,8.63,0,13,2,33,2,8
624900,4.32,0,3,7,65,7,10
638950,3.72,0,14,2,21,3,6
608978,4.55,0,3,6,51,3,6
634991,4.4,0,3,15,22,1,5
611899,3.49,0,6,3,22,1,8
638266,4.71,0,13,3,34,2,11
620220,5.0,0,3,12,28,5,7
647046,3.14,0,3,10,23,3,4
605845,0.0,0,3,18,18,2,5
609834,3.65,0,9,2,7,1,3
628500,4.78,0,3,11,26,2,5
646817,0.0,0,9,6,13,1,5
625076,3.57,0,3,15,45,4,11
609055,4.64,0,3,8,12,2,4
637112,1.9,0,2,3,18,2,4
617199,4.37,0,3,14,25,2,6
532468,4.56,1,3,17,96,4,15
605958,2.12,0,3,17,16,1,4
609876,4.56,0,3,11,11,1,4
642963,2.57,0,13,8,13,1,4
605111,1.84,0,3,8,13,1,4
616121,4.84,0,3,9,20,1,5
626934,2.05,0,3,11,61,2,11
608233,4.71,0,3,15,29,2,7
646278,5.05,0,14,7,29,4,9
639714,3.08,0,3,13,18,1,4
608630,2.17,0,3,10,9,1,3
636903,5.29,0,3,3,16,1,3
639229,3.3,0,3,18,10,2,4
641019,5.48,0,10,8,31,3,6
611011,2.13,0,15,6,55,5,14
643570,3.67,0,3,16,13,1,4
634348,5.02,0,2,4,32,2,7
610741,3.68,0,3,10,20,2,4
615152,8.63,0,13,2,28,2,5
625865,8.63,0,13,2,11,2,4
633653,2.71,0,10,15,13,1,4
614052,4.66,0,15,7,10,1,5
625276,3.13,0,3,9,17,3,5
647244,2.84,0,10,6,17,3,7
637584,1.91,0,3,8,16,1,4
605431,4.6,0,19,8,25,3,7
636679,2.29,0,3,7,7,1,3
620529,5.24,0,2,20,16,2,5
632619,2.85,0,4,8,20,3,4
607332,3.7,0,3,17,22,1,5
618085,3.8,0,3,6,17,2,5
645853,2.89,0,10,9,17,1,4
650028,4.59,0,3,12,21,3,4
605028,6.66,0,3,2,27,3,6
630281,5.1,0,3,3,17,1,6
642628,1.27,0,3,8,5,2,4
618051,3.51,0,3,6,22,2,6
647784,4.76,0,3,10,19,2,5
604313,0.0,0,13,11,12,1,5
637501,0.0,0,15,6,14,3,5
649015,4.61,0,4,11,29,2,6
608225,1.04,0,3,18,24,2,7
632294,0.0,0,3,15,19,1,5
639928,5.27,0,3,12,49,5,11
637774,3.27,0,3,5,14,1,4
605858,2.1,0,3,8,18,2,5
605120,2.63,0,3,23,27,1,8
650202,4.56,0,3,10,17,4,7
648393,3.05,0,3,10,14,1,4
643214,3.6,0,3,10,14,1,5
637216,5.81,0,3,5,23,1,5
605074,2.21,0,5,8,18,2,6
631118,5.21,0,3,14,20,2,5
607160,2.48,0,3,11,3,1,4
614290,3.48,0,3,11,42,1,4
635807,5.91,0,3,8,69,4,12
647957,2.74,0,14,10,10,1,4
648415,5.01,0,3,8,12,1,2
616140,4.17,0,15,7,4,2,4
648720,1.92,0,3,7,8,3,5
626454,5.09,0,5,2,35,5,10
616760,8.63,0,13,2,21,2,5
625706,5.05,0,3,15,25,2,5
644049,4.54,0,9,6,42,4,8
627127,4.94,0,3,6,17,3,5
638736,3.79,0,3,9,17,2,5
632705,2.81,0,3,7,14,1,5
606659,1.52,0,3,9,25,2,6
647092,5.24,0,3,7,37,3,8
642881,3.57,0,3,9,11,1,4
636464,5.29,0,3,10,21,3,5
617918,4.85,0,3,5,24,2,5
610960,2.93,0,9,3,36,2,9
635304,5.15,0,3,5,40,4,9
631755,3.5,0,8,7,7,2,4
633123,5.39,0,3,12,44,4,10
636758,4.63,0,3,8,6,1,4
644194,3.98,0,10,4,29,4,7
343276,0.0,0,8,11,0,0,2
614371,0.0,0,3,4,6,1,3
625045,3.34,0,3,12,5,2,4
619485,5.51,0,3,8,30,4,7
607962,2.87,0,3,21,9,1,5
610988,3.14,0,3,8,35,3,10
603178,4.27,0,3,18,13,1,6
610553,4.64,0,3,12,21,2,5
617262,3.7,0,3,8,11,2,4
630825,2.9,0,3,10,19,2,5
634081,4.92,0,3,15,20,2,6
644013,2.68,0,3,8,23,2,6
607844,3.99,0,3,9,21,3,4
650871,5.55,0,3,8,30,4,7
624974,4.19,0,3,17,19,1,5
650788,4.55,0,8,2,125,8,27
605296,5.09,0,3,10,8,1,4
605867,3.65,0,8,5,18,2,6
624038,3.73,0,3,7,30,2,5
614393,8.63,0,13,2,11,2,5
641851,3.36,0,3,9,8,1,4
646980,3.69,0,16,2,20,2,7
604620,1.8,0,3,10,11,1,3
607956,3.98,0,3,24,4,2,4
649401,2.68,0,18,7,15,1,6
607212,3.3,0,3,11,11,1,4
611150,4.88,0,3,3,39,5,9
606951,5.77,0,3,3,21,3,6
605712,4.44,0,3,18,29,3,6
605136,2.49,0,3,17,13,2,5
632903,4.0,0,3,6,23,4,6
649571,3.21,0,3,9,35,3,6
626025,5.93,0,3,8,56,6,11
647146,4.68,0,3,9,19,3,6
635418,4.65,0,3,10,16,1,4
634463,4.79,0,16,6,9,1,3
645783,8.63,0,13,2,13,2,4
646332,4.7,0,3,8,14,2,4
647706,3.77,0,3,10,19,2,6
604532,4.57,0,3,10,12,2,4
